IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
43.103.6.144,443,443,TRUE,HKG,亚太,香港,5 ms,72.17871094
47.239.4.246,443,443,TRUE,HKG,亚太,香港,3 ms,69.19433594
47.239.4.246,2053,2053,TRUE,HKG,亚太,香港,3 ms,67.84667969
8.219.155.125,443,443,TRUE,NRT,亚太,日本东京,40 ms,58.35546875
8.217.180.234,443,443,TRUE,HKG,亚太,香港,3 ms,58.08398438
47.251.88.90,443,443,TRUE,SJC,北美洲,美国圣何塞,153 ms,53.38183594
47.77.239.158,443,443,TRUE,SJC,北美洲,美国圣何塞,154 ms,52.32519531
47.74.13.93,8443,8443,TRUE,NRT,亚太,日本东京,48 ms,50.30566406
47.239.4.246,8443,8443,TRUE,HKG,亚太,香港,2 ms,48.91113281
8.222.193.153,443,443,TRUE,NRT,亚太,日本东京,34 ms,48.86132813
47.82.155.79,443,443,TRUE,SIN,亚太,新加坡,33 ms,48.55078125
47.245.139.226,443,443,TRUE,FRA,欧洲,德国法兰克福,193 ms,45.94238281
47.82.155.79,2053,2053,TRUE,SIN,亚太,新加坡,36 ms,45.72851563
47.82.155.79,8443,8443,TRUE,SIN,亚太,新加坡,35 ms,42.21972656
47.245.135.191,443,443,TRUE,FRA,欧洲,德国法兰克福,190 ms,41.58984375
8.209.111.225,443,443,TRUE,FRA,欧洲,德国法兰克福,186 ms,41.47460938
8.209.104.124,443,443,TRUE,FRA,欧洲,德国法兰克福,191 ms,41.42382813
8.209.108.3,443,443,TRUE,FRA,欧洲,德国法兰克福,281 ms,40.56347656
47.245.139.99,443,443,TRUE,FRA,欧洲,德国法兰克福,192 ms,38.89746094
47.245.134.84,443,443,TRUE,FRA,欧洲,德国法兰克福,187 ms,37.85058594
8.209.118.3,443,443,TRUE,FRA,欧洲,德国法兰克福,280 ms,36.87011719
8.209.105.99,443,443,TRUE,FRA,欧洲,德国法兰克福,193 ms,34.99316406
47.74.17.46,443,443,TRUE,NRT,亚太,日本东京,48 ms,34.82617188
8.211.19.24,443,443,TRUE,FRA,欧洲,德国法兰克福,201 ms,30.63574219
47.245.131.215,8443,8443,TRUE,FRA,欧洲,德国法兰克福,192 ms,29.109375
8.212.18.156,443,443,TRUE,HKG,亚太,香港,2 ms,29.00976563
8.223.63.189,443,443,TRUE,HKG,亚太,香港,2 ms,28.9609375
8.212.19.207,443,443,TRUE,HKG,亚太,香港,2 ms,28.91894531
8.218.189.27,443,443,TRUE,HKG,亚太,香港,3 ms,28.48632813
8.218.226.31,443,443,TRUE,HKG,亚太,香港,3 ms,28.30371094
47.243.254.47,443,443,TRUE,HKG,亚太,香港,8 ms,28.1875
47.76.94.185,443,443,TRUE,HKG,亚太,香港,3 ms,28.10351563
8.215.45.203,443,443,TRUE,SIN,亚太,新加坡,47 ms,27.97167969
47.82.160.100,443,443,TRUE,SIN,亚太,新加坡,34 ms,27.96582031
43.106.97.107,443,443,TRUE,SIN,亚太,新加坡,33 ms,27.80957031
47.239.249.190,8443,8443,TRUE,TPE,亚太,台北,2 ms,27.56347656
47.82.168.54,2053,2053,TRUE,SIN,亚太,新加坡,34 ms,27.49121094
43.99.10.153,443,443,TRUE,SIN,亚太,新加坡,3 ms,27.33203125
47.79.36.80,443,443,TRUE,NRT,亚太,日本东京,48 ms,27.26171875
47.57.182.141,443,443,TRUE,HKG,亚太,香港,4 ms,27.06445313
47.237.79.209,443,443,TRUE,SIN,亚太,新加坡,36 ms,26.98730469
147.139.140.61,443,443,TRUE,CGK,亚太,印度尼西亚雅加达,46 ms,26.95800781
8.215.57.14,443,443,TRUE,CGK,亚太,印度尼西亚雅加达,47 ms,26.83691406
47.245.131.215,443,443,TRUE,FRA,欧洲,德国法兰克福,188 ms,26.10351563
147.139.189.225,443,443,TRUE,SIN,亚太,新加坡,44 ms,26.046875
47.81.9.160,443,443,TRUE,SIN,亚太,新加坡,72 ms,25.83007813
8.222.185.236,443,443,TRUE,NRT,亚太,日本东京,35 ms,25.68164063
8.216.5.125,8443,8443,TRUE,NRT,亚太,日本东京,48 ms,25.55761719
47.82.178.58,443,443,TRUE,SIN,亚太,新加坡,35 ms,25.54296875
8.216.5.125,2053,2053,TRUE,NRT,亚太,日本东京,48 ms,24.94726563
8.220.134.136,443,443,TRUE,SIN,亚太,新加坡,57 ms,24.38867188
47.251.126.86,443,443,TRUE,SJC,北美洲,美国圣何塞,153 ms,19.53613281
147.139.214.102,443,443,TRUE,SIN,亚太,新加坡,46 ms,19.00292969
47.254.91.203,443,443,TRUE,SJC,北美洲,美国圣何塞,156 ms,16.48242188
47.77.189.231,443,443,TRUE,SJC,北美洲,美国圣何塞,154 ms,14.42578125
47.239.18.207,443,443,TRUE,KIX,亚太,大阪,2 ms,12.83300781
47.251.178.32,443,443,TRUE,SJC,北美洲,美国圣何塞,158 ms,12.109375
47.88.15.127,443,443,TRUE,SJC,北美洲,美国圣何塞,155 ms,10.98046875
8.219.134.138,443,443,TRUE,IAD,北美洲,美国阿什伯恩,37 ms,10.87304688
8.219.198.57,443,443,TRUE,IAD,北美洲,美国阿什伯恩,35 ms,10.42285156
47.85.189.124,443,443,TRUE,EWR,北美洲,美国纽瓦克,184 ms,8.819335938
47.76.218.163,443,443,TRUE,HKG,亚太,香港,2 ms,7.133789063
8.223.63.150,443,443,TRUE,HKG,亚太,香港,3 ms,6.748046875
47.245.131.215,2053,2053,TRUE,FRA,欧洲,德国法兰克福,190 ms,5.35546875
8.213.206.54,443,443,TRUE,SIN,亚太,新加坡,65 ms,4.0234375
47.250.212.59,2053,2053,TRUE,SIN,亚太,新加坡,47 ms,2.397460938
47.82.163.41,443,443,TRUE,SIN,亚太,新加坡,32 ms,1.880859375
47.250.81.46,2087,2087,TRUE,SIN,亚太,新加坡,40 ms,1.786132813
47.250.212.59,443,443,TRUE,SIN,亚太,新加坡,44 ms,1.235351563
38.207.188.139,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,32.4296875
38.207.169.215,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,22.25683594
38.55.111.100,443,443,TRUE,LAX,北美洲,美国洛杉矶,0 ms,22.1171875
38.207.167.59,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,22.03613281
38.207.166.81,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,21.91308594
38.47.118.10,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,21.40527344
38.55.111.80,443,443,TRUE,LAX,北美洲,美国洛杉矶,2 ms,21.22851563
38.207.171.30,443,443,TRUE,LAX,北美洲,美国洛杉矶,3 ms,20.94824219
38.207.177.148,443,443,TRUE,HKG,亚太,香港,171 ms,12.84277344
38.47.124.159,8443,8443,TRUE,NRT,亚太,日本东京,103 ms,12.45117188
38.47.105.38,443,443,TRUE,NRT,亚太,日本东京,108 ms,12.00585938
38.47.125.85,443,443,TRUE,NRT,亚太,日本东京,102 ms,10.71582031
38.207.177.100,443,443,TRUE,HKG,亚太,香港,180 ms,9.73046875
38.47.126.220,443,443,TRUE,NRT,亚太,日本东京,106 ms,8.534179688
38.47.104.82,443,443,TRUE,NRT,亚太,日本东京,106 ms,8.37109375
38.55.105.188,8443,8443,TRUE,HKG,亚太,香港,309 ms,8.330078125
38.207.165.178,443,443,TRUE,HKG,亚太,香港,173 ms,8.151367188
149.104.30.56,443,443,TRUE,HKG,亚太,香港,149 ms,7.802734375
149.104.5.163,8443,8443,TRUE,HKG,亚太,香港,160 ms,7.390625
149.104.27.98,443,443,TRUE,HKG,亚太,香港,164 ms,7.118164063
149.104.31.176,443,443,TRUE,HKG,亚太,香港,207 ms,6.904296875
149.104.25.20,443,443,TRUE,HKG,亚太,香港,155 ms,6.892578125
38.207.172.22,8443,8443,TRUE,HKG,亚太,香港,156 ms,6.86328125
149.104.31.162,443,443,TRUE,HKG,亚太,香港,152 ms,6.796875
149.104.30.135,443,443,TRUE,HKG,亚太,香港,153 ms,6.68359375
149.104.28.43,443,443,TRUE,HKG,亚太,香港,157 ms,6.54296875
149.104.26.243,443,443,TRUE,HKG,亚太,香港,162 ms,6.514648438
149.104.5.76,443,443,TRUE,HKG,亚太,香港,155 ms,6.497070313
149.104.30.212,443,443,TRUE,HKG,亚太,香港,297 ms,6.020507813
149.104.26.241,443,443,TRUE,HKG,亚太,香港,152 ms,5.875976563
149.104.26.45,443,443,TRUE,HKG,亚太,香港,149 ms,5.62109375
149.104.29.219,443,443,TRUE,HKG,亚太,香港,156 ms,5.346679688
149.104.27.248,443,443,TRUE,HKG,亚太,香港,193 ms,5.129882813
149.104.29.191,8443,8443,TRUE,HKG,亚太,香港,317 ms,5.0859375
149.104.27.115,443,443,TRUE,HKG,亚太,香港,158 ms,4.91796875
149.104.30.188,443,443,TRUE,HKG,亚太,香港,142 ms,4.908203125
38.147.173.136,443,443,TRUE,HKG,亚太,香港,150 ms,4.90234375
38.55.125.8,443,443,TRUE,HKG,亚太,香港,199 ms,4.86328125
149.104.29.223,443,443,TRUE,HKG,亚太,香港,341 ms,4.795898438
149.104.26.240,443,443,TRUE,HKG,亚太,香港,147 ms,4.70703125
38.47.103.11,8443,8443,TRUE,TPE,亚太,台北,156 ms,4.57421875
149.104.30.244,443,443,TRUE,HKG,亚太,香港,163 ms,4.564453125
149.104.30.91,443,443,TRUE,HKG,亚太,香港,153 ms,4.497070313
149.104.31.114,443,443,TRUE,HKG,亚太,香港,167 ms,4.473632813
149.104.26.139,443,443,TRUE,HKG,亚太,香港,166 ms,4.438476563
149.104.28.229,443,443,TRUE,HKG,亚太,香港,157 ms,4.379882813
38.207.132.101,443,443,TRUE,HKG,亚太,香港,158 ms,4.245117188
149.104.5.224,443,443,TRUE,HKG,亚太,香港,243 ms,4.0390625
38.47.123.127,443,443,TRUE,LAX,北美洲,美国洛杉矶,155 ms,3.827148438
149.104.28.216,443,443,TRUE,HKG,亚太,香港,160 ms,3.802734375
45.158.230.84,8443,8443,TRUE,ICN,亚太,韩国首尔,161 ms,3.575195313
149.104.28.99,443,443,TRUE,HKG,亚太,香港,147 ms,3.528320313
38.47.109.165,443,443,TRUE,NRT,亚太,日本东京,104 ms,3.416992188
149.104.28.139,443,443,TRUE,HKG,亚太,香港,177 ms,2.837890625
149.104.25.84,443,443,TRUE,HKG,亚太,香港,184 ms,2.584960938
149.104.27.179,443,443,TRUE,HKG,亚太,香港,152 ms,1.153320313
38.207.161.200,8443,8443,TRUE,HKG,亚太,香港,156 ms,1.138671875
154.9.249.242,443,443,TRUE,LAX,北美洲,美国洛杉矶,2 ms,59.40625
23.144.20.6,443,443,TRUE,LAX,北美洲,美国洛杉矶,0 ms,48.59863281
154.9.239.50,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,48.42675781
154.9.241.127,8443,8443,TRUE,LAX,北美洲,美国洛杉矶,0 ms,46.86035156
154.40.33.24,8443,8443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,44.39160156
154.12.47.161,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,31.90039063
154.12.47.28,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,31.16308594
38.47.118.10,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,22.13769531
38.207.169.215,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,21.84082031
154.36.128.5,2087,2087,TRUE,LAX,北美洲,美国洛杉矶,1 ms,21.75585938
38.207.167.59,443,443,TRUE,LAX,北美洲,美国洛杉矶,1 ms,21.57128906
